City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sal rei,20,CV,10-3-2018,83,16.18,-22.92,78.8,11.41
pitiquito,32,MX,10-3-2018,94,30.68,-112.05,71.0,3.62
havre-saint-pierre,40,CA,10-3-2018,89,50.23,-63.6,32.0,6.93
maniitsoq,92,GL,10-3-2018,100,65.42,-52.9,29.51,9.22
okha,68,RU,10-3-2018,74,53.59,142.95,48.86,16.6
bandarbeyla,48,SO,10-3-2018,95,9.49,50.81,76.4,11.68
mamallapuram,40,IN,10-3-2018,74,12.63,80.17,87.8,6.93
ust-kuyga,92,RU,10-3-2018,84,70.0,135.55,28.25,11.01
namie,75,JP,10-3-2018,64,37.52,140.86,71.6,4.7
antofagasta,90,CL,10-3-2018,71,-23.65,-70.4,57.2,9.17
kargopol,92,RU,10-3-2018,98,61.51,38.95,43.73,7.43
vallenar,12,CL,10-3-2018,71,-28.58,-70.76,50.39,2.06
ginir,0,ET,10-3-2018,88,7.14,40.71,51.11,2.62
chachapoyas,0,PE,10-3-2018,87,-6.23,-77.87,57.23,2.06
tombouctou,0,ML,10-3-2018,40,16.77,-3.01,80.54,8.21
upata,0,VE,10-3-2018,69,8.02,-62.41,76.76,8.55
natal,20,BR,10-3-2018,83,-5.81,-35.21,75.2,6.93
blagodatnoye,90,RU,10-3-2018,100,51.57,35.54,50.0,6.71
orlik,92,RU,10-3-2018,93,52.51,99.83,35.18,1.95
stonewall,90,CA,10-3-2018,93,50.13,-97.33,42.8,11.41
salta,0,AR,10-3-2018,62,-24.79,-65.41,59.0,6.93
eyl,76,SO,10-3-2018,95,7.98,49.82,74.69,11.79
meadow lake,8,CA,10-3-2018,58,54.13,-108.44,28.43,7.2
devils lake,90,US,10-3-2018,89,48.11,-98.87,50.0,10.29
dicabisagan,24,PH,10-3-2018,95,17.08,122.42,81.44,7.43
faya,0,SA,10-3-2018,36,18.39,42.45,60.8,3.06
mount pleasant,1,US,10-3-2018,88,33.16,-94.97,77.54,6.87
margate,20,AU,10-3-2018,44,-43.03,147.26,57.2,21.92
phan thiet,88,VN,10-3-2018,100,10.93,108.1,81.17,3.74
fairbanks,1,US,10-3-2018,8,64.84,-147.72,53.06,4.18
road town,24,VG,10-3-2018,100,18.42,-64.62,81.44,2.39
salinopolis,56,BR,10-3-2018,95,-0.61,-47.36,81.08,15.82
isla aguada,44,MX,10-3-2018,100,18.78,-91.49,75.68,6.08
majene,0,ID,10-3-2018,90,-3.54,118.97,84.5,13.47
ankazoabo,0,MG,10-3-2018,79,-22.29,44.51,54.35,2.73
ibotirama,0,BR,10-3-2018,52,-12.18,-43.22,76.13,9.1
manoel urbano,76,BR,10-3-2018,90,-8.84,-69.26,76.49,2.39
hegang,0,CN,10-3-2018,54,47.34,130.28,59.48,5.19
dudinka,68,RU,10-3-2018,90,69.41,86.18,32.84,8.77
melito di porto salvo,40,IT,10-3-2018,82,37.92,15.77,66.2,2.24
hervey bay,0,AU,10-3-2018,82,-25.3,152.85,72.53,10.67
yumen,0,CN,10-3-2018,30,40.29,97.04,60.38,7.09
perevolotskiy,56,RU,10-3-2018,58,51.88,54.19,39.32,6.98
nishihara,20,JP,10-3-2018,60,35.74,139.53,73.94,5.97
ponta delgada,40,PT,10-3-2018,88,37.73,-25.67,69.8,12.75
shimoda,75,JP,10-3-2018,73,34.7,138.93,73.4,8.05
pozo colorado,76,PY,10-3-2018,97,-23.49,-58.8,65.96,7.2
yar-sale,24,RU,10-3-2018,100,66.83,70.83,34.91,6.76
roma,0,IT,10-3-2018,72,41.89,12.48,64.4,8.05
kukushtan,75,RU,10-3-2018,75,57.65,56.5,46.4,8.95
laguna,0,MX,10-3-2018,67,27.52,-110.01,80.81,3.62
lagoa,40,PT,10-3-2018,88,37.14,-8.45,69.8,8.05
san juan,0,AR,10-3-2018,65,-31.54,-68.53,46.25,4.97
lakselv,92,NO,10-3-2018,59,70.05,24.96,37.4,25.28
grand gaube,40,MU,10-3-2018,82,-20.01,57.66,68.0,2.24
tilichiki,44,RU,10-3-2018,89,60.47,166.1,45.53,10.45
daru,80,SL,10-3-2018,98,7.99,-10.85,73.16,3.18
alyangula,0,AU,10-3-2018,84,-13.85,136.42,83.33,14.58
nikolayevsk-na-amure,76,RU,10-3-2018,83,53.14,140.72,49.76,11.79
iqaluit,90,CA,10-3-2018,92,63.75,-68.52,30.2,16.11
romanovskaya,36,RU,10-3-2018,99,47.54,42.02,60.29,6.98
sangar,80,RU,10-3-2018,82,63.92,127.47,36.62,2.95
morlenbach,20,DE,10-3-2018,94,49.6,8.73,51.8,10.45
danilov,88,RU,10-3-2018,96,58.19,40.17,42.74,10.22
ahipara,92,NZ,10-3-2018,78,-35.17,173.16,62.45,0.49
lavrentiya,92,RU,10-3-2018,90,65.58,-170.99,46.16,27.89
priyutnoye,20,RU,10-3-2018,87,46.1,43.51,60.8,4.47
batagay,76,RU,10-3-2018,75,67.65,134.64,31.94,4.29
koslan,92,RU,10-3-2018,96,63.46,48.9,42.92,8.21
daryapur,0,IN,10-3-2018,78,20.92,77.32,82.61,4.29
yevsino,68,RU,10-3-2018,97,54.42,83.32,40.31,7.99
port said,0,EG,10-3-2018,43,25.34,30.55,78.74,7.43
ust-kulom,92,RU,10-3-2018,92,61.69,53.69,42.74,6.98
west plains,1,US,10-3-2018,81,36.73,-91.85,73.94,4.7
plettenberg bay,92,ZA,10-3-2018,100,-34.05,23.37,59.66,8.99
oksovskiy,92,RU,10-3-2018,99,62.61,39.91,44.09,6.64
camopi,0,GF,10-3-2018,79,3.17,-52.33,76.76,4.18
lorengau,36,PG,10-3-2018,97,-2.02,147.27,85.4,4.41
warragul,48,AU,10-3-2018,72,-38.16,145.93,62.54,3.4
palora,76,EC,10-3-2018,100,-1.7,-77.97,61.82,0.38
birao,8,CF,10-3-2018,87,10.3,22.78,71.36,4.18
zyryanka,0,RU,10-3-2018,72,65.73,150.89,37.25,2.62
zhangye,0,CN,10-3-2018,55,38.94,100.46,57.41,3.85
yantal,92,RU,10-3-2018,100,56.85,105.25,36.62,5.19
khatanga,80,RU,10-3-2018,100,71.98,102.47,32.21,6.31
salym,56,RU,10-3-2018,89,60.06,71.48,42.74,6.2
lasa,20,CY,10-3-2018,72,34.92,32.53,69.8,3.36
san-pedro,80,CI,10-3-2018,95,4.75,-6.64,75.05,4.18
byron bay,0,AU,10-3-2018,53,-28.65,153.62,71.6,13.87
loviisa,40,FI,10-3-2018,100,60.46,26.23,37.4,3.36
acapulco,40,MX,10-3-2018,79,16.86,-99.88,84.2,10.29
beira,0,ES,10-3-2018,93,43.2,-8.36,55.4,6.93
wattegama,8,LK,10-3-2018,95,7.35,80.68,76.76,2.73
sechura,56,PE,10-3-2018,87,-5.56,-80.82,67.22,12.24
maxixe,0,MZ,10-3-2018,93,-23.86,35.35,66.2,11.68
kutum,100,SD,10-3-2018,28,14.2,24.66,83.24,8.21
arica,90,CL,10-3-2018,63,-18.48,-70.32,66.2,2.24
forest grove,40,US,10-3-2018,64,45.52,-123.11,59.0,4.7
omsukchan,88,RU,10-3-2018,81,62.53,155.8,32.21,4.85
brookings,90,US,10-3-2018,96,44.31,-96.8,57.92,12.75
winsum,64,NL,10-3-2018,66,53.33,6.52,55.4,11.41
berlevag,75,NO,10-3-2018,64,70.86,29.09,39.2,14.99
coihaique,90,CL,10-3-2018,56,-45.58,-72.07,44.6,4.7
champerico,40,MX,10-3-2018,73,16.38,-93.6,77.0,8.05
keti bandar,0,PK,10-3-2018,99,24.14,67.45,81.08,11.01
sabzevar,64,IR,10-3-2018,78,36.21,57.68,53.09,5.64
antigonish,90,CA,10-3-2018,93,45.62,-61.99,46.4,6.93
esso,8,RU,10-3-2018,65,55.93,158.7,35.54,7.76
cercany,40,CZ,10-3-2018,76,49.85,14.7,50.0,20.8
bestobe,44,KZ,10-3-2018,76,52.5,73.1,42.65,5.64
trelew,0,AR,10-3-2018,34,-43.25,-65.31,44.72,10.78
kargasok,92,RU,10-3-2018,79,59.06,80.87,43.19,5.86
amuntai,8,ID,10-3-2018,72,-2.42,115.25,86.75,2.73
vitoria,20,BR,10-3-2018,90,-8.36,-72.77,75.77,2.17
nymburk,40,CZ,10-3-2018,76,50.19,15.04,51.8,20.8
salihorsk,24,BY,10-3-2018,86,52.79,27.54,42.56,15.26
bilibino,0,RU,10-3-2018,87,68.06,166.44,34.91,3.06
storm lake,90,US,10-3-2018,100,42.64,-95.21,55.76,8.05
alexandria,1,US,10-3-2018,94,31.31,-92.44,75.92,4.41
hami,36,CN,10-3-2018,40,42.84,93.51,64.52,6.31
redmond,90,US,10-3-2018,71,47.67,-122.12,53.06,6.98
hofn,92,IS,10-3-2018,100,64.25,-15.21,40.49,10.78
lazaro cardenas,75,MX,10-3-2018,64,28.39,-105.62,71.6,5.82
mehamn,75,NO,10-3-2018,89,71.03,27.85,39.2,14.99
flinders,90,AU,10-3-2018,46,-34.58,150.85,71.6,19.46
kilindoni,88,TZ,10-3-2018,100,-7.91,39.67,78.02,9.66
iquique,90,CL,10-3-2018,72,-20.22,-70.14,64.4,4.7
merauke,100,ID,10-3-2018,73,-8.49,140.4,83.6,16.49
makhachkala,68,RU,10-3-2018,88,42.98,47.5,62.6,4.47
vestmanna,0,FO,10-3-2018,86,62.16,-7.17,37.4,8.43
kasongo-lunda,80,CD,10-3-2018,99,-6.48,16.82,66.86,2.73
areosa,0,PT,10-3-2018,88,41.72,-8.86,68.0,9.17
ardakan,0,IR,10-3-2018,19,32.31,54.02,69.8,3.18
lompoc,75,US,10-3-2018,67,34.64,-120.46,68.0,6.93
los llanos de aridane,12,ES,10-3-2018,73,28.66,-17.92,73.4,10.29
port hedland,0,AU,10-3-2018,16,-20.31,118.58,98.6,9.17
karratha,20,AU,10-3-2018,23,-20.74,116.85,92.96,8.77
izhma,88,RU,10-3-2018,99,65.01,53.91,43.19,7.65
tuburan,90,PH,10-3-2018,70,10.73,123.82,86.0,2.24
san patricio,88,PY,10-3-2018,94,-26.98,-56.83,64.52,4.97
batagay-alyta,0,RU,10-3-2018,86,67.8,130.41,19.43,4.07
beringovskiy,92,RU,10-3-2018,96,63.05,179.32,46.88,20.51
siemiatycze,92,PL,10-3-2018,80,52.43,22.86,47.33,21.85
adrian,90,US,10-3-2018,80,41.9,-84.04,64.04,4.74
columbus,1,US,10-3-2018,98,32.46,-84.99,75.02,4.52
vega de alatorre,36,MX,10-3-2018,96,20.03,-96.65,72.08,5.19
ola,0,RU,10-3-2018,40,59.58,151.3,53.6,8.95
yulara,40,AU,10-3-2018,32,-25.24,130.99,80.6,16.11
mazyr,24,BY,10-3-2018,87,52.05,29.27,45.89,10.22
chumikan,0,RU,10-3-2018,60,54.72,135.31,51.92,10.22
ambon,90,FR,10-3-2018,87,47.55,-2.56,59.0,3.36
lac du bonnet,92,CA,10-3-2018,100,50.25,-96.06,42.92,9.44
tessalit,8,ML,10-3-2018,41,20.2,1.01,74.42,2.73
kerema,92,PG,10-3-2018,93,-7.96,145.78,77.21,3.4
roald,88,NO,10-3-2018,81,62.58,6.12,44.6,20.8
praya,20,ID,10-3-2018,46,-8.71,116.27,89.6,8.05
yerofey pavlovich,0,RU,10-3-2018,40,53.97,121.97,54.62,3.4
honiara,75,SB,10-3-2018,79,-9.43,159.96,84.2,4.7
najran,0,SA,10-3-2018,53,17.54,44.22,66.2,2.24
ishigaki,75,JP,10-3-2018,61,24.34,124.16,80.6,24.16
kuching,75,MY,10-3-2018,70,1.56,110.34,87.8,3.36
gizo,0,IL,10-3-2018,83,31.8,34.94,77.0,2.24
gagnoa,68,CI,10-3-2018,100,6.13,-5.95,69.29,2.95
joshimath,24,IN,10-3-2018,75,30.57,79.57,31.13,1.61
sokolo,36,ML,10-3-2018,87,14.74,-6.12,72.08,2.84
saveh,0,IR,10-3-2018,51,35.02,50.36,55.97,5.75
severo-kurilsk,80,RU,10-3-2018,97,50.68,156.12,48.68,18.39
guerrero negro,8,MX,10-3-2018,98,27.97,-114.04,67.13,2.17
sisophon,20,KH,10-3-2018,81,13.59,102.97,83.24,10.56
necochea,12,AR,10-3-2018,78,-38.55,-58.74,46.16,7.43
jaguaruna,100,BR,10-3-2018,100,-28.62,-49.03,65.42,3.51
marienburg,20,DE,10-3-2018,76,52.12,9.98,51.8,16.11
san luis,0,AR,10-3-2018,25,-33.3,-66.34,53.99,10.67
kokstad,92,ZA,10-3-2018,62,-30.55,29.42,48.41,10.45
itirucu,64,BR,10-3-2018,92,-13.53,-40.15,67.85,5.19
ozinki,24,RU,10-3-2018,59,51.2,49.73,42.11,6.98
charters towers,0,AU,10-3-2018,59,-20.07,146.27,77.66,9.44
san roque,68,EC,10-3-2018,100,0.3,-78.23,51.38,1.72
the pas,75,CA,10-3-2018,83,53.82,-101.24,32.0,5.82
conceicao do araguaia,0,BR,10-3-2018,80,-8.26,-49.26,76.04,3.18
tallahassee,40,US,10-3-2018,94,30.44,-84.28,78.08,3.36
elat,80,CM,10-3-2018,96,2.91,11.16,68.39,2.17
mayumba,88,GA,10-3-2018,100,-3.44,10.65,75.14,3.74
mikkeli,90,FI,10-3-2018,93,61.69,27.27,39.2,6.64
general pico,0,AR,10-3-2018,48,-35.66,-63.75,46.16,7.2
jumla,0,NP,10-3-2018,88,29.28,82.18,41.03,1.61
falam,0,MM,10-3-2018,82,22.91,93.68,72.62,1.61
romny,92,UA,10-3-2018,97,50.74,33.49,51.56,4.97
pusad,32,IN,10-3-2018,72,19.91,77.57,80.54,5.75
hirado,20,JP,10-3-2018,60,33.32,129.49,75.2,4.7
tiznit,0,MA,10-3-2018,98,29.7,-9.73,65.51,3.62
mapiripan,76,CO,10-3-2018,67,2.89,-72.13,78.92,5.3
praia da vitoria,40,PT,10-3-2018,88,38.73,-27.07,68.0,13.24
ilebo,56,CD,10-3-2018,93,-4.33,20.59,72.71,2.73
gelemso,12,ET,10-3-2018,85,8.81,40.52,51.02,2.95
payyannur,20,IN,10-3-2018,99,12.1,75.2,82.25,5.3
wageningen,90,NL,10-3-2018,93,51.98,5.66,51.8,6.93
erenhot,0,CN,10-3-2018,35,43.65,111.97,60.11,8.1
verkhnyaya inta,88,RU,10-3-2018,93,65.99,60.32,37.88,4.97
biltine,0,TD,10-3-2018,55,14.53,20.93,68.84,3.18
aksha,0,RU,10-3-2018,43,50.28,113.29,62.99,4.07
victoria,75,BN,10-3-2018,83,5.28,115.24,82.4,3.36
tabou,92,CI,10-3-2018,100,4.42,-7.36,78.29,7.87
ravar,0,IR,10-3-2018,33,31.27,56.81,52.91,4.97
dukat,48,RS,10-3-2018,92,42.44,22.31,44.72,2.28
mezen,92,RU,10-3-2018,98,65.85,44.24,43.55,6.08
prykolotne,44,UA,10-3-2018,93,50.16,37.35,48.59,6.76
oga,88,NG,10-3-2018,98,8.18,5.65,71.09,3.18
nicoya,75,CR,10-3-2018,94,10.15,-85.45,75.2,3.36
inuvik,40,CA,10-3-2018,79,68.36,-133.71,28.4,8.05
yarmouth,20,GB,10-3-2018,87,50.71,-1.5,53.6,5.82
quepos,90,CR,10-3-2018,94,9.43,-84.16,69.8,3.36
mumford,80,GH,10-3-2018,93,5.26,-0.76,75.68,7.54
labuhan,20,ID,10-3-2018,72,-2.54,115.51,85.31,3.18
natitingou,40,BJ,10-3-2018,94,10.31,1.38,73.4,3.85
russell,0,AR,10-3-2018,54,-33.01,-68.8,55.4,4.7
fushun,0,CN,10-3-2018,60,41.89,123.95,71.6,6.71
astorga,0,ES,10-3-2018,75,42.46,-6.05,44.6,2.24
denpasar,20,ID,10-3-2018,62,-8.65,115.22,86.0,16.11
livingston,1,US,10-3-2018,93,32.58,-88.19,75.02,2.73
trenggalek,24,ID,10-3-2018,57,-8.05,111.71,85.31,3.18
porterville,1,US,10-3-2018,50,36.07,-119.02,78.98,3.36
finnsnes,75,NO,10-3-2018,100,69.23,17.98,37.4,9.17
lumeje,92,AO,10-3-2018,39,-11.56,20.78,74.42,7.65
los chiles,92,CR,10-3-2018,100,11.04,-84.71,72.44,1.05
nogliki,8,RU,10-3-2018,77,51.8,143.14,53.36,6.53
ngunguru,0,NZ,10-3-2018,99,-35.62,174.5,60.02,9.55
oro valley,90,US,10-3-2018,77,32.39,-110.97,74.3,8.05
aklavik,40,CA,10-3-2018,79,68.22,-135.01,28.4,8.05
okato,0,NZ,10-3-2018,98,-39.19,173.88,56.15,9.66
puerto quijarro,8,BO,10-3-2018,83,-19.0,-57.72,72.71,3.4
rock sound,68,BS,10-3-2018,100,24.9,-76.2,83.42,18.5
boende,44,CD,10-3-2018,97,-0.28,20.88,69.38,2.62
palmer,75,AU,10-3-2018,55,-34.85,139.16,64.4,17.22
sur,0,OM,10-3-2018,92,22.57,59.53,83.33,6.87
hobyo,88,SO,10-3-2018,89,5.35,48.53,76.04,13.02
vestmannaeyjar,92,IS,10-3-2018,96,63.44,-20.27,41.3,3.96
afonso bezerra,0,BR,10-3-2018,73,-5.5,-36.51,75.41,12.01
ballina,92,IE,10-3-2018,99,54.11,-9.15,54.08,13.24
brownwood,75,US,10-3-2018,83,31.71,-98.99,75.74,11.41
tautira,75,PF,10-3-2018,65,-17.73,-149.15,78.8,6.93
barra do corda,0,BR,10-3-2018,70,-5.5,-45.25,78.65,3.4
ampanihy,0,MG,10-3-2018,81,-24.69,44.75,55.43,9.44
port macquarie,0,AU,10-3-2018,50,-31.43,152.91,75.2,12.75
manavalakurichi,75,IN,10-3-2018,79,8.13,77.3,84.2,3.36
nouakchott,8,MR,10-3-2018,93,18.08,-15.98,80.72,11.23
semenivka,92,UA,10-3-2018,96,52.18,32.58,45.44,3.62
price,90,US,10-3-2018,100,39.6,-110.81,59.0,8.05
axim,64,GH,10-3-2018,99,4.87,-2.24,78.11,8.99
twentynine palms,1,US,10-3-2018,39,34.14,-116.05,87.08,11.41
bangui,64,CF,10-3-2018,100,4.39,18.55,71.6,2.24
avera,1,US,10-3-2018,92,33.19,-82.53,78.08,5.75
boa vista,0,BR,10-3-2018,69,2.82,-60.67,82.4,5.82
yelizovo,40,RU,10-3-2018,50,53.19,158.38,53.6,13.42
lata,0,IN,10-3-2018,79,30.78,78.62,56.24,1.95
porto murtinho,92,BR,10-3-2018,89,-21.7,-57.88,70.64,7.65
tansen,0,NP,10-3-2018,48,27.87,83.55,82.52,3.74
jalu,0,LY,10-3-2018,36,29.03,21.55,74.69,10.45
baherden,0,TM,10-3-2018,76,38.44,57.43,60.56,2.62
ituiutaba,20,BR,10-3-2018,79,-18.97,-49.46,70.01,4.29
santiago del estero,0,AR,10-3-2018,55,-27.8,-64.26,55.34,5.97
liaocheng,0,CN,10-3-2018,49,36.44,115.96,77.66,4.63
northam,0,GB,10-3-2018,100,51.04,-4.21,53.6,6.93
ahar,0,IR,10-3-2018,83,38.48,47.07,41.57,3.96
kipushi,0,CD,10-3-2018,56,-11.76,27.24,60.11,9.44
garbolovo,90,RU,10-3-2018,93,60.34,30.5,42.8,4.47
aberdeen,90,US,10-3-2018,89,45.47,-98.49,55.04,9.17
salinas,75,US,10-3-2018,75,36.67,-121.66,64.94,4.7
salamanca,0,ES,10-3-2018,75,40.97,-5.66,41.0,1.12
tres arroyos,0,AR,10-3-2018,70,-38.38,-60.28,43.91,5.41
saint-michel-des-saints,92,CA,10-3-2018,100,46.68,-73.92,43.46,4.85
butig,68,PH,10-3-2018,90,7.74,124.31,76.31,3.29
illela,0,NG,10-3-2018,91,12.25,4.3,74.42,7.87
sao miguel do araguaia,8,BR,10-3-2018,84,-13.28,-50.16,75.68,2.73
waingapu,12,ID,10-3-2018,48,-9.65,120.26,87.65,12.35
escanaba,90,US,10-3-2018,77,45.75,-87.06,55.04,4.7
vanimo,0,PG,10-3-2018,100,-2.67,141.3,84.05,6.53
senador jose porfirio,8,BR,10-3-2018,95,-2.59,-51.95,77.39,3.18
mus,0,FR,10-3-2018,54,43.74,4.2,59.0,16.11
nkongsamba,48,CM,10-3-2018,92,4.95,9.94,69.74,1.61
pilar,0,AR,10-3-2018,71,-34.46,-58.91,55.4,3.36
dickinson,40,US,10-3-2018,93,46.88,-102.79,53.06,5.82
tynda,0,RU,10-3-2018,42,55.15,124.74,50.66,3.62
susurluk,40,TR,10-3-2018,93,39.91,28.16,57.2,3.06
turukhansk,92,RU,10-3-2018,96,65.8,87.96,33.65,16.6
tianpeng,8,CN,10-3-2018,73,28.88,112.34,74.69,4.63
wuchang,0,CN,10-3-2018,82,44.93,127.16,62.09,7.09
kudahuvadhoo,92,MV,10-3-2018,100,2.67,72.89,78.74,24.76
abu dhabi,0,AE,10-3-2018,61,24.47,54.37,82.4,4.7
